STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00094899,"COPPER HARBOR, MI US",2020-06-01,,71,53
USW00094899,"COPPER HARBOR, MI US",2020-06-02,,81,50
USW00094899,"COPPER HARBOR, MI US",2020-06-03,,63,44
USW00094899,"COPPER HARBOR, MI US",2020-06-04,,73,53
USW00094899,"COPPER HARBOR, MI US",2020-06-05,,72,47
USW00094899,"COPPER HARBOR, MI US",2020-06-06,,57,43
USW00094899,"COPPER HARBOR, MI US",2020-06-08,,80,50
USW00094899,"COPPER HARBOR, MI US",2020-06-09,,81,46
USW00094899,"COPPER HARBOR, MI US",2020-06-10,,65,45
USW00094899,"COPPER HARBOR, MI US",2020-06-11,,56,41
USW00094899,"COPPER HARBOR, MI US",2020-06-12,,51,41
USW00094899,"COPPER HARBOR, MI US",2020-06-13,,62,39
USW00094899,"COPPER HARBOR, MI US",2020-06-14,,66,42
USW00094899,"COPPER HARBOR, MI US",2020-06-15,,70,50
USW00094899,"COPPER HARBOR, MI US",2020-06-16,,83,56
USW00094899,"COPPER HARBOR, MI US",2020-06-17,,83,65
USW00094899,"COPPER HARBOR, MI US",2020-06-18,,83,63
USW00094899,"COPPER HARBOR, MI US",2020-06-19,,70,55
USW00094899,"COPPER HARBOR, MI US",2020-06-20,,64,50
USW00094899,"COPPER HARBOR, MI US",2020-06-21,,70,48
USW00094899,"COPPER HARBOR, MI US",2020-06-22,,68,52
USW00094899,"COPPER HARBOR, MI US",2020-06-23,,59,50
USW00094899,"COPPER HARBOR, MI US",2020-06-24,,69,54
USW00094899,"COPPER HARBOR, MI US",2020-06-25,,80,54
USW00094899,"COPPER HARBOR, MI US",2020-06-26,,80,57
USW00094899,"COPPER HARBOR, MI US",2020-06-27,,71,56
USW00094899,"COPPER HARBOR, MI US",2020-06-28,,83,56
USW00094899,"COPPER HARBOR, MI US",2020-06-29,,81,60
USW00094899,"COPPER HARBOR, MI US",2020-06-30,,82,66
USW00094899,"COPPER HARBOR, MI US",2020-07-01,,87,60
USW00094899,"COPPER HARBOR, MI US",2020-07-02,,72,59
USW00094899,"COPPER HARBOR, MI US",2020-07-03,,78,59
USW00094899,"COPPER HARBOR, MI US",2020-07-04,,84,58
USW00094899,"COPPER HARBOR, MI US",2020-07-05,,81,61
USW00094899,"COPPER HARBOR, MI US",2020-07-06,,75,59
USW00094899,"COPPER HARBOR, MI US",2020-07-07,,71,53
USW00094899,"COPPER HARBOR, MI US",2020-07-08,,82,64
USW00094899,"COPPER HARBOR, MI US",2020-07-09,,78,60
USW00094899,"COPPER HARBOR, MI US",2020-07-10,,79,67
USW00094899,"COPPER HARBOR, MI US",2020-07-11,,71,59
USW00094899,"COPPER HARBOR, MI US",2020-07-12,,71,56
USW00094899,"COPPER HARBOR, MI US",2020-07-13,,78,58
USW00094899,"COPPER HARBOR, MI US",2020-07-14,,75,59
USW00094899,"COPPER HARBOR, MI US",2020-07-15,,80,62
USW00094899,"COPPER HARBOR, MI US",2020-07-16,,82,64
USW00094899,"COPPER HARBOR, MI US",2020-07-17,,79,64
USW00094899,"COPPER HARBOR, MI US",2020-07-19,,79,57
USW00094899,"COPPER HARBOR, MI US",2020-07-20,,68,56
